Date,AGL.JO,BID.JO,CPI.JO
2020-09-21,39524.26171875,25592.712890625,92438.6484375
2020-09-22,38470.8828125,25260.03125,92684.40625
2020-09-23,39152.25,25627.681640625,94408.734375
2020-09-25,39120.921875,25309.984375,92866.234375
2020-09-28,39914.875,25775.5390625,98629.671875
2020-09-29,39580.0625,25425.87109375,98260.0234375
2020-09-30,39874.734375,25802.51953125,103637.8203125
2020-10-01,39379.375,25773.548828125,104013.4609375
2020-10-02,38918.2734375,25364.93359375,104898.609375
2020-10-05,39437.1328125,25769.55078125,103989.484375
2020-10-06,39061.20703125,25561.744140625,103966.515625
2020-10-07,39878.65234375,25518.787109375,109893.7890625
2020-10-08,39800.33203125,26526.830078125,106073.453125
2020-10-09,40934.96875,25966.359375,105774.765625
2020-10-12,40875.25,25525.779296875,109568.09375
2020-10-13,40636.37890625,24642.6171875,106967.6015625
2020-10-14,41085.73046875,24051.177734375,107571.03125
2020-10-15,40439.60546875,23305.88671875,107653.953125
2020-10-16,40875.25,23024.15234375,108039.5625
2020-10-19,41469.4921875,23084.095703125,109650.0
2020-10-20,41427.39453125,23527.67578125,113140.6484375
2020-10-21,41337.328125,24434.8125,115702.1484375
2020-10-22,40457.2265625,23863.35546875,118085.8671875
2020-10-23,41117.05859375,24926.34765625,119849.1484375
2020-10-26,40666.73046875,24494.755859375,120883.1484375
2020-10-27,39122.8828125,24185.048828125,122623.4609375
2020-10-28,37132.62109375,22979.1953125,119490.5
2020-10-29,37222.6875,22585.568359375,118296.6484375
2020-10-30,36794.87109375,22248.888671875,113889.90625
2020-11-02,37520.29296875,22298.841796875,117748.1875
2020-11-03,38577.58984375,22482.666015625,122281.8046875
2020-11-04,37700.42578125,22866.3046875,125751.4453125
2020-11-05,37578.0546875,23718.4921875,126147.0546875
2020-11-06,38122.3671875,23602.603515625,123749.3828125
2020-11-09,40716.65625,26858.515625,130813.5546875
2020-11-10,41897.3046875,27748.669921875,137214.359375
2020-11-11,42796.00390625,27929.498046875,142362.40625
2020-11-12,41875.765625,26730.63671875,141862.875
2020-11-13,42209.59765625,27096.2890625,139864.78125
2020-11-16,42928.16796875,27627.783203125,136807.78125
2020-11-17,42516.99609375,28482.97265625,139861.796875
2020-11-18,43217.9453125,27973.458984375,135772.75
2020-11-19,42722.58203125,28314.1328125,137866.734375
2020-11-20,42732.37109375,27600.8125,132057.359375
2020-11-23,43854.28125,28044.388671875,131688.71875
2020-11-24,45894.46875,28426.02734375,135530.0
2020-11-25,45692.80078125,27903.525390625,133399.0625
2020-11-26,45132.82421875,28222.22265625,132380.046875
2020-11-27,45130.8671875,28404.048828125,131065.3125
2020-11-30,45473.5078125,27909.517578125,129426.890625
2020-12-01,45957.125,27898.525390625,128875.4296875
2020-12-02,47507.82421875,27535.875,129315.0
2020-12-03,49340.46875,27786.63671875,128438.859375
2020-12-04,50515.2421875,27877.546875,128875.4296875
2020-12-07,50304.76171875,27316.080078125,128096.1875
2020-12-08,49593.046875,26916.4609375,128430.859375
2020-12-09,49426.62109375,27074.310546875,130269.09375
2020-12-10,49193.625,27259.13671875,129670.65625
2020-12-11,47821.09765625,27178.2109375,140196.5
2020-12-14,47601.8046875,28455.001953125,144924.9375
2020-12-15,47500.97265625,28299.150390625,148256.6875
2020-12-17,49043.83984375,27696.71875,144859.984375
2020-12-18,46699.1875,26935.443359375,147857.078125
2020-12-21,46207.7421875,26156.181640625,140335.359375
2020-12-22,46064.8125,25930.39453125,141862.875
2020-12-23,46978.19921875,25875.451171875,142604.171875
2020-12-24,47309.08984375,25875.451171875,141265.484375
2020-12-28,47913.12109375,25816.505859375,143864.9375
2020-12-29,48053.11328125,26296.044921875,142276.453125
2020-12-30,47743.7578125,26314.029296875,144297.53125
2020-12-31,47480.4140625,26278.06640625,143126.640625
2021-01-04,50293.99609375,25956.373046875,142492.296875
2021-01-05,51255.3515625,26010.31640625,138331.296875
2021-01-06,54793.375,26616.7421875,136298.25
2021-01-07,57317.1796875,27992.439453125,141387.328125
2021-01-08,56993.13671875,28582.875,144073.734375
2021-01-11,56643.64453125,28046.38671875,142887.90625
2021-01-12,55511.9453125,27065.318359375,141740.0
2021-01-13,55700.88671875,27068.314453125,137443.140625
2021-01-14,56291.2109375,26980.400390625,138865.78125
2021-01-15,54379.26953125,26430.91796875,140348.34375
2021-01-18,54125.7109375,26218.123046875,140942.75
2021-01-19,52394.87890625,27153.234375,142682.09375
2021-01-20,53183.9375,27032.349609375,142264.5
2021-01-21,53539.3046875,26902.47265625,137830.765625
2021-01-22,52784.51171875,27113.2734375,134577.9375
2021-01-25,51352.26953125,26572.78515625,133961.5
2021-01-26,51048.78515625,26469.8828125,137489.125
2021-01-27,47828.9296875,25825.4921875,139864.78125
2021-01-28,49651.78515625,26003.328125,139864.78125
2021-01-29,48997.828125,25232.060546875,138572.078125
2021-02-01,50515.2421875,25130.154296875,139685.953125
2021-02-02,48519.109375,25928.396484375,139611.046875
2021-02-03,48611.1328125,26279.0625,134953.53125
2021-02-04,48662.0390625,26887.486328125,134604.90625
2021-02-05,49454.03125,27546.861328125,138681.9375
